iter	Passed	Remaining
491	168411	173887
492	168719	173510
493	169019	173125
494	169328	172749
495	169656	172393
496	169964	172016
497	170264	171632
498	170574	171258
499	170884	170884
500	171185	170501
501	171495	170129
502	171822	169772
503	172135	169402
504	172439	169024
505	172749	168652
506	173065	168286
507	173384	167923
508	173688	167546
509	173996	167173
510	174320	166815
511	174630	166444
512	174939	166072
513	175245	165698
514	175563	165336
515	175877	164970
516	176180	164594
517	176489	164224
518	176815	163869
519	177123	163498
520	177435	163131
521	177753	162770
522	178078	162416
523	178399	162057
524	178720	161699
525	179046	161345
526	179356	160978
527	179655	160600
528	179967	160235
529	180293	159882
530	180597	159511
531	180917	159153
532	181247	158804
533	181576	158454
534	181907	158106
535	182230	157751
536	182566	157408
537	182981	157132
538	183337	156806
539	183663	156454
540	184015	156123
541	184322	155756
542	184634	155392
543	184958	155038
544	185265	154670
545	185570	154301
546	185925	153974
547	186235	153609
548	186539	153241
549	186845	152873
550	187160	152513
551	187472	152151
552	187780	151786
553	188084	151418
554	188398	151058
555	188710	150697
556	189043	150352
557	189372	150004
558	189709	149663
559	190042	149319
560	190351	148956
561	190671	148601
562	190997	148251
563	191304	147887
564	191605	147519
565	191938	147175
566	192247	146813
567	192572	146463
568	192913	146126
569	193283	145810
570	193620	145469
571	194020	145176
572	194447	144902
573	194852	144611
574	195270	144330
575	195616	143995
576	196022	143704
577	196410	143400
578	196748	143058
579	197087	142718
580	197415	142369
581	197762	142035
582	198088	141686
583	198416	141337
584	198755	140997
585	199070	140640
586	199409	140300
587	199731	139948
588	200053	139595
589	200341	139220
590	200664	138869
591	201041	138555
592	201376	138212
593	201695	137858
594	202011	137503
595	202343	137159
596	202697	136829
597	202991	136459
598	203319	136112
599	203708	135805
600	204023	135450
601	204364	135111
602	204687	134761
603	204989	134397
604	205292	134034
605	205629	133693
606	205968	133353
607	206286	133000
608	206581	132633
609	206922	132294
610	207215	131925
611	207513	131560
612	207849	131219
613	208201	130888
614	208531	130543
615	208841	130187
616	209175	129844
617	209497	129495
618	209821	129147
619	210125	128786
620	210442	128434
621	210739	128070
622	211036	127705
623	211407	127386
624	211738	127043
625	212044	126684
626	212349	126325
627	212664	125973
628	212962	125610
629	213264	125250
630	213566	124890
631	213905	124552
632	214199	124188
633	214500	123828
634	214801	123468
635	215158	123141
636	215495	122802
637	215837	122465
638	216180	122130
639	216517	121790
640	216844	121446
641	217212	121124
642	217529	120774
643	217828	120414
644	218169	120077
645	218475	119721
646	218796	119374
647	219106	119021
648	219451	118686
649	219772	118339
650	220079	117984
651	220413	117643
652	220774	117318
653	221087	116966
654	221418	116625
655	221775	116297
656	222124	115964
657	222455	115622
658	222813	115295
659	223152	114957
660	223517	114632
661	223854	114294
662	224176	113947
663	224481	113592
664	224777	113233
665	225118	112897
666	225503	112582
667	225814	112231
668	226128	111881
669	226429	111525
670	226728	111167
671	227028	110811
672	227341	110461
673	227681	110124
674	228008	109781
675	228308	109426
676	228626	109078
677	228957	108737
678	229320	108412
679	229665	108077
680	229997	107737
681	230313	107389
682	230634	107044
683	230962	106702
684	231266	106348
685	231613	106015
686	231997	105698
687	232355	105370
688	232710	105040
689	233037	104697
690	233346	104347
691	233643	103991
692	233967	103648
693	234305	103310
694	234616	102961
695	234911	102604
696	235212	102251
697	235621	101945
698	235962	101609
699	236329	101283
700	236710	100964
701	237146	100668
702	237480	100329
703	237860	100009
704	238186	99666
705	238546	99338
706	238896	99005
707	239205	98655
708	239550	98320
709	239874	97976
710	240192	97631
711	240495	97279
712	240799	96927
713	241140	96591
714	241455	96244
715	241754	95891
716	242053	95538
717	242358	95188
718	242653	94834
719	242954	94482
720	243260	94132
721	243568	93783
722	243859	93428
723	244156	93076
724	244459	92725
725	244765	92377
726	245065	92026
727	245363	91674
728	245680	91329
729	245975	90977
730	246266	90623
731	246568	90273
732	246880	89927
733	247179	89577
734	247474	89225
735	247774	88875
736	248079	88527
737	248371	88175
738	248668	87824
739	248970	87476
740	249275	87128
741	249571	86778
742	249861	86426
743	250172	86080
744	250469	85731
745	250764	85381
746	251070	85034
747	251386	84691
748	251677	84340
749	251974	83991
750	252274	83643
751	252587	83300
752	252885	82951
753	253177	82601
754	253476	82253
755	253774	81906
756	254065	81556
757	254363	81208
758	254667	80862
759	254974	80518
760	255263	80168
761	255559	79820
762	255880	79480
763	256176	79133
764	256472	78785
765	256767	78438
766	257079	78095
767	257372	77747
768	257675	77403
769	257986	77060
770	258283	76714
771	258575	76366
772	258868	76019
773	259185	75679
774	259475	75331
775	259770	74985
776	260062	74638
777	260378	74298
778	260673	73952
779	260972	73607
780	261277	73264
781	261579	72921
782	261890	72580
783	262178	72232
784	262483	71890
785	262782	71546
786	263081	71202
787	263379	70858
788	263691	70518
789	263981	70172
790	264271	69826
791	264578	69485
792	264882	69143
793	265172	68797
794	265464	68453
795	265774	68113
796	266081	67772
797	266378	67429
798	266667	67084
799	266977	66744
800	267273	66401
801	267560	66056
802	267855	65713
803	268170	65374
804	268464	65031
805	268757	64688
806	269059	64347
807	269359	64006
808	269656	63664
809	269975	63327
810	270310	62994
811	270628	62657
812	270938	62319
813	271259	61983
814	271635	61659
815	271987	61330
816	272305	60993
817	272611	60654
818	272933	60318
819	273231	59977
820	273527	59636
821	273844	59299
822	274137	58957
823	274434	58617
824	274724	58274
825	275037	57937
826	275331	57596
827	275623	57255
828	275928	56916
829	276233	56578
830	276524	56236
831	276821	55896
832	277124	55557
833	277427	55219
834	277722	54879
835	278016	54539
836	278323	54201
837	278616	53861
838	278905	53520
839	279200	53181
840	279512	52844
841	279799	52503
842	280098	52165
843	280396	51826
844	280706	51490
845	281033	51157
846	281329	50818
847	281645	50483
848	281941	50145
849	282238	49806
850	282585	49477
851	282895	49141
852	283192	48803
853	283485	48464
854	283784	48127
855	284093	47791
856	284381	47452
857	284677	47114
858	284982	46778
859	285279	46440
860	285576	46103
861	285873	45766
862	286185	45431
863	286482	45094
864	286778	44757
865	287073	44420
866	287381	44085
867	287671	43747
868	287979	43412
869	288303	43079
870	288638	42749
871	288961	42416
872	289275	42082
873	289628	41754
874	289981	41425
875	290334	41097
876	290703	40771
877	291034	40439
878	291344	40105
879	291677	39774
880	291994	39440
881	292310	39107
882	292603	38770
883	292918	38437
884	293224	38102
885	293515	37766
886	293832	37433
887	294172	37102
888	294482	36768
889	294779	36433
890	295107	36101
891	295425	35769
892	295723	35433
893	296041	35101
894	296344	34766
895	296645	34432
896	296959	34099
897	297308	33769
898	297667	33442
899	297998	33110
900	298320	32778
901	298644	32446
902	298941	32112
903	299236	31777
904	299544	31443
905	299879	31113
906	300200	30781
907	300504	30447
908	300816	30114
909	301155	29784
910	301495	29454
911	301824	29123
912	302160	28792
913	302468	28459
914	302792	28128
915	303110	27796
916	303425	27463
917	303715	27129
918	304017	26795
919	304309	26461
920	304615	26128
921	304913	25795
922	305215	25462
923	305514	25128
924	305815	24795
925	306141	24464
926	306458	24133
927	306779	23801
928	307090	23469
929	307407	23138
930	307717	22806
931	308025	22473
932	308328	22141
933	308645	21810
934	308958	21478
935	309264	21146
936	309578	20814
937	309899	20483
938	310245	20154
939	310590	19824
940	310919	19494
941	311239	19163
942	311548	18831
943	311862	18500
944	312180	18169
945	312490	17837
946	312797	17506
947	313115	17175
948	313426	16843
949	313736	16512
950	314037	16180
951	314351	15849
952	314664	15518
953	314966	15187
954	315280	14856
955	315585	14524
956	315903	14194
957	316205	13862
958	316514	13531
959	316824	13201
960	317128	12869
961	317432	12538
962	317748	12208
963	318069	11878
964	318374	11547
965	318684	11216
966	318994	10886
967	319306	10555
968	319607	10224
969	319919	9894
970	320236	9564
971	320536	9233
972	320843	8903
973	321168	8573
974	321490	8243
975	321829	7913
976	322204	7585
977	322625	7257
978	323012	6928
979	323444	6600
980	323814	6271
981	324184	5942
982	324535	5612
983	324878	5282
984	325185	4952
985	325507	4621
986	325857	4291
987	326218	3962
988	326527	3631
989	326856	3301
990	327193	2971
991	327514	2641
992	327846	2311
993	328159	1980
994	328475	1650
995	328830	1320
996	329188	990
997	329526	660
998	329857	330
999	330215	0
